address,balance
0x0b8F4C4E7626A91460dac057eB43e0de59d5b44F,1044.773474901886552888
0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,101.64455850574459046
0xA0b1C5F88d9A1aCDD4f7fF869e947bfd54C07c61,98.076817714799615138
0x4339889FD9dFCa20a423fbA011e9dfF1C856CAEb,55.432281760505476336
0x9bADAE7A4A9030D094b799f13B306d2F462F9be9,51.846223180003245976
0x9ABDe6fAe4c59D730A73142542d9a908BD291644,51.643901416016492762
0x7594F15D27B58C04B82C3891e6f5f4488b2006e0,45.601674546060783193
0x127bBc2904Dbb53Cf601782fC12fa4fD633394E4,38.119326650723614144
0x79b7a69d90c82E014Bf0315e164208119B510FA0,37.79818703765955556
0x5E2ab3d24375ad07F93ad40fB78762A5Bf96C7b5,37.324075250154139104
0x04192b74807F697c4e78f4EA1c727f2BfCbfbC04,34.732250460108054904
0x047a2fbe8aEF590d4EB8942426a24970af301875,32.406515832151637256
0x7ab700A3B5e1c3eF823C82C7Ec8B19d01723fc19,31.688993177702145741
0x2E86cdDA1CB4BAF3aa15A0D878C368f10B70Ad57,30.545027391430371318
0xB88B31718aF72572Cd519fF8c15f8ee456423e87,30.000298022794608766
0xaDb207914E98A7f54a7a212519d6900eA0e74C4C,29.915185956496509647
0x303c223e6AcaFe204800FEa771842cbB421B51D0,28.519640617398219739
0xB9332b6301e5983272c30dd5b48a4e3B1664511b,27.125787613577161017
0x9b7e7f21d98f21C0354035798C40E9040e25787f,26.980819628213568838
0x424bE8DF5Db7B04b1063Bd4Ee0F99Db445C59624,26.469720034153198838
0x7b9d4D8772b8705dDc7456Daf821c3022DDa0504,25.019097276004542811
0x94c9c69277dD97b48425eDB093aCD84bDD4D2Eb8,24.52471748212544989
0x0001fC0b945C30389ae805443E38E59a655662d3,23.907385805119631915
0x1F27f9Ca3E9bF9CC88540EDf0A9fA9A2b2796fF8,20.348351676559034419
0xee22294e77C04338Dc5bEd295bBc5FBA0CE5F23E,18.011875908280301839
0x974665201d5195c6CeB998d1C4c7e70aF0cF5247,17.899134771214628586
0xbb75B7Cf7Aad0ca612FC7E5Af336688d0A1ec701,16.652937868162167207
