address,balance,ens
0xae2Fc483527B8EF99EB5D9B44875F005ba1FaE13,116.831779615228585413,jaredfromsubway.eth
0x38790dEd09b38Df2F558FC040ae7A2B060B38FB7,4.942531365188818758,murcielago333.eth
0xDD0bA0BEaD4b384Fc0FEf7ff44C27f39b86D0536,1.922601808612887217,flashbotting.eth
0xECfa4ddD8A151827BFb8126af5B1A5aDf9e6d796,1.180342453599948336,mogharder.eth
0xC6D1c9603757006A57F211E0C6c6Ab8c57D35835,0.333144321830626038,cryptobronyc.eth
0x81dcAB1513d88478a3536348d6d7560f2d8762a4,0.278914872071286515,proudape.eth
0x69945f396a248555a28703A593DE3082D6947E4A,0.195516494594302084,crypto-viking.eth
0x3f4D24E85A7b92e37e49Bc2ADFf40FB320D3FcCd,0.131328509110279932,sendycrawford.eth
0xe7C161519b315AE58f42f3B1709F42aE9A34A9E0,0.058535284250060872,jolan.eth
0x3d7e23Af8DE6c01fd57A2C9b5fD1543004D9167F,0.027449082256255859,dedkat.eth
0x8D6f5eD711F68A5Bba0167604Db169d018181ac6,0.026025765019589521,feigy.eth
0xB9646e808F42d7622177820e8802B451a8AF40a6,0.015315432227083024,chauddebussy.eth
0x0F86c06cB70AEF5242A3E871dd5632b40B8aD135,0.013339143058839809,vitalikwellbutrin.eth
0x074585256C14805e7D1dAd9D3d8E173F7e838456,0.012677345721983554,brokeforever.eth
0x160204d04ba2aefB1a01E8Bb4aA499c634Bc1902,0.011101537659319514,aayayay.eth
0x64d8F81C62344EFFB7090d86f9636Fb8E82F4A1C,0.008175720731157035,notrevenant.eth
0x5911f2aaFb565Dfa1bcBcC02A42B0759b6BdF78B,0.007901918566314776,topdodd.eth
0xbc1452FA7F91393515e3ce10fb9B9aaf8c8F8F68,0.001396088915420883,okann.eth
0x4c9810351207207cF3F4d1e47446901A4F50336b,0.000585488629236,xmillionaire.eth
0x4b63F8e63FECC19039A7eAF8fFcFe817fC806e63,0.000210321756372,ncd0104ftct.eth
0xb3ecf7daDd14a157975c2Bd445306Cfe428Dd668,0.000100348861473,cryptocoinninja.eth
0x8b1e2b8DAe94436B072c01c0AfAEbDbFAf7C2273,0.0000892714032,squeaked.eth
0xC952C3ad3EEB7a024a58C0C292DdB8e0266E2060,0.000084992117874617,etherangel.eth
0x4339889FD9dFCa20a423fbA011e9dfF1C856CAEb,56.560089895850662285,
0xf9cAFEb32467994e3AFfd61E30865E5Ab32ABE68,16.946307930750357583,
0x67f9bB828745f2aEED04BfEaB1B7527B130b5C78,15.806082459888028286,
0x77ad3a15b78101883AF36aD4A875e17c86AC65d1,14.073251919237773664,
0x080086911D8c78008800FAE75871a657b77d0082,11.312992849463109643,
0x76F36d497b51e48A288f03b4C1d7461e92247d5e,11.10405026474251067,
